Date,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],Memory usage [GB],Memory capacity provisioned [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],Label,Memory usage [KB],Count
2/18/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/19/2009,4,11703.99824,66.32265669,0,67108864,8.533333333,4.2,0,1.066666667,0,0,1
2/20/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
2/21/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
2/22/2009,4,11703.99824,72.17465581,0,67108864,0,1.866666667,0,1,0,0,1
2/23/2009,4,11703.99824,68.27332307,0,67108864,0,1.666666667,0,1,0,0,1
2/24/2009,4,11703.99824,72.17465581,0,67108864,0,2.133333333,0,1.066666667,0,0,1
2/25/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
2/26/2009,4,11703.99824,72.17465581,0,67108864,0,1.8,0.066666667,1.066666667,0,0,1
2/27/2009,4,11703.99824,60.47065757,0.223696,67108864,0,1.466666667,0,1,0,223696,1
2/28/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,0.933333333,0,0,1
3/1/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
3/2/2009,4,11703.99824,70.22398944,0,67108864,0,1.4,0,1,0,0,1
3/3/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
3/4/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
3/5/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
3/6/2009,4,11703.99824,83.87865405,0,67108864,0,1.333333333,0,0.933333333,0,0,1
3/7/2009,4,11703.99824,76.07598856,0,67108864,0,1.333333333,0,1,0,0,1
3/8/2009,4,11703.99824,76.07598856,0,67108864,0,1.4,0,1,0,0,1
3/9/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
3/10/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
3/11/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
3/12/2009,4,11703.99824,1347.910464,0.447392,67108864,5.066666667,4.666666667,168.3333333,30.66666667,1,447392,1
3/13/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
3/14/2009,4,11703.99824,64.37199032,0.1342176,67108864,0,1.666666667,0,1,0,134217.6,1
3/15/2009,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
3/16/2009,4,11703.99824,1014.346514,2.013264,67108864,0,2.333333333,0.666666667,8.733333333,1,2013264,1
3/17/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
3/18/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
3/19/2009,4,11703.99824,68.27332307,0,67108864,0,1.4,0,1,0,0,1
3/20/2009,4,11703.99824,4913.728594,2.192221867,67108864,2.533333333,2510.933333,717.8,8.2,1,2192221.867,1
3/21/2009,4,11703.99824,10982.25168,5.9055784,67108864,0,11645.93333,0,1.333333333,1,5905578.4,1
3/22/2009,4,11703.99824,11056.377,14.4507736,67108864,0.066666667,8199,0,1.533333333,1,14450773.6,1
3/23/2009,4,11703.99824,10129.81048,14.62973013,67108864,2.533333333,10979.8,716.9333333,11.06666667,1,14629730.13,1
3/24/2009,4,11703.99824,10988.10368,6.710884,67108864,0,11908.13333,0,1.4,1,6710884,1
3/25/2009,4,11703.99824,11073.933,15.30081867,67108864,0.066666667,8233.2,0,1.533333333,1,15300818.67,1
3/26/2009,4,11703.99824,10194.18247,13.86916347,67108864,2.6,12471.6,713,10.93333333,1,13869163.47,1
3/27/2009,4,11703.99824,10993.95568,8.366236267,67108864,0,10271.26667,0,1.4,1,8366236.267,1
3/28/2009,4,11703.99824,83.87865405,2.639613067,67108864,0,1.333333333,0,1,0,2639613.067,1
3/29/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
3/30/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
3/31/2009,4,11703.99824,70.22398944,0.1789568,67108864,0,1.333333333,0,1,0,178956.8,1
4/1/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
4/2/2009,4,11703.99824,11068.081,5.2344896,67108864,0.2,8219.8,0,1.533333333,1,5234489.6,1
4/3/2009,4,11703.99824,10211.73846,18.3878264,67108864,2.533333333,11860.6,718.5333333,19.46666667,1,18387826.4,1
4/4/2009,4,11703.99824,11005.65968,7.2924936,67108864,0,11758,0,1.8,1,7292493.6,1
4/5/2009,4,11703.99824,11128.55166,14.67446987,67108864,0.066666667,6572.4,0,1.4,1,14674469.87,1
4/6/2009,4,11703.99824,10352.18644,12.52698613,67108864,133.8666667,15243.86667,548.9333333,17.73333333,1,12526986.13,1
4/7/2009,4,11703.99824,11070.03167,8.679410133,67108864,0,9903.066667,0.066666667,1.6,1,8679410.133,1
4/8/2009,4,11703.99824,11114.897,21.2958776,67108864,0,8644.933333,3.4,1.533333333,1,21295877.6,1
4/9/2009,4,11703.99824,10906.17569,6.531927467,67108864,0,13611.13333,0,2.733333333,1,6531927.467,1
4/10/2009,4,11703.99824,11085.637,8.142539733,67108864,0.2,8656.6,0,1.533333333,1,8142539.733,1
4/11/2009,4,11703.99824,10205.88647,21.832748,67108864,2.533333333,7655.733333,718.4666667,9.933333333,1,21832748,1
4/12/2009,4,11703.99824,10988.10368,7.5609288,67108864,0,11901.4,0,1.933333333,1,7560928.8,1
4/13/2009,4,11703.99824,11126.60099,11.05059147,67108864,0.066666667,6281,0,1.466666667,1,11050591.47,1
4/14/2009,4,11703.99824,10207.83713,12.1690712,67108864,2.533333333,11406.06667,708.2666667,19.46666667,1,12169071.2,1
4/15/2009,4,11703.99824,11046.62367,6.576666933,67108864,0,10083.8,0,1.666666667,1,6576666.933,1
4/16/2009,4,11703.99824,10964.69568,17.9404344,67108864,136.8,14069.6,3.666666667,1.533333333,1,17940434.4,1
4/17/2009,4,11703.99824,10849.60637,6.4424496,67108864,1.266666667,18228.86667,0,1.933333333,1,6442449.6,1
4/18/2009,4,11703.99824,10923.73169,11.14006933,67108864,5.4,12127.66667,0,1.4,1,11140069.33,1
4/19/2009,4,11703.99824,10116.15581,9.439977867,67108864,0.066666667,15338.8,0.733333333,13.13333333,1,9439977.867,1
4/20/2009,4,11703.99824,71.05998931,0.431413714,67108864,0,2.571428571,0,1.071428571,0,431413.7143,1
4/21/2009,4,11703.99824,58.5199912,0.223696,67108864,0,1.333333333,0,1,0,223696,1
4/22/2009,4,11703.99824,64.78999026,0,67108864,0,2.214285714,0,1,0,0,1
4/23/2009,4,11703.99824,72.17465581,0.1342176,67108864,0,1.4,0,1,0,134217.6,1
4/24/2009,4,11703.99824,64.78999026,0,67108864,0,1.357142857,0,1,0,0,1
4/25/2009,4,11703.99824,60.60999089,0,67108864,0,1.428571429,0,1,0,0,1
4/26/2009,4,11703.99824,85.82932043,0,67108864,8.466666667,4.333333333,0,1.066666667,0,0,1
4/27/2009,4,11703.99824,62.42132395,0.1342176,67108864,0,2.466666667,0,1,0,134217.6,1
4/28/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
4/29/2009,4,11703.99824,73.149989,0,67108864,0,1.357142857,0,1,0,0,1
4/30/2009,4,11703.99824,72.17465581,0,67108864,0,1.4,0,1,0,0,1
5/1/2009,4,11703.99824,62.42132395,0,67108864,0,1.4,0,1,0,0,1
5/2/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
5/3/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
5/4/2009,4,11703.99824,74.12532219,0,67108864,0,1.4,0,1,0,0,1
5/5/2009,4,11703.99824,66.32265669,0,67108864,0,1.4,0,1,0,0,1
5/6/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
5/7/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
5/8/2009,4,11703.99824,68.27332307,0.0447392,67108864,0,1.4,0,1,0,44739.2,1
5/9/2009,4,11703.99824,68.27332307,0.1342176,67108864,0,1.466666667,0,1,0,134217.6,1
5/10/2009,4,11703.99824,74.12532219,0,67108864,0,1.4,0,1,0,0,1
5/11/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
5/12/2009,4,11703.99824,72.17465581,0,67108864,0,1.666666667,0,1,0,0,1
5/13/2009,4,11703.99824,66.32265669,0.1342176,67108864,0,1.333333333,0,1,0,134217.6,1
5/14/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
5/15/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
5/16/2009,4,11703.99824,74.12532219,0.0894784,67108864,0,1.333333333,0,1,0,89478.4,1
5/17/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
5/18/2009,4,11703.99824,81.92798768,0,67108864,0,1.333333333,0,1,0,0,1
5/19/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
5/20/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
5/21/2009,4,11703.99824,64.37199032,0,67108864,0,1.666666667,0,1,0,0,1
5/22/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
5/23/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
5/24/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
5/25/2009,4,11703.99824,68.27332307,0.3579136,67108864,0,1.466666667,0,1,0,357913.6,1
5/26/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
5/27/2009,4,11703.99824,193.115971,0.0447392,67108864,2.533333333,2.133333333,269.2666667,3.066666667,1,44739.2,1
5/28/2009,4,11703.99824,11044.67301,6.308230933,67108864,0.133333333,10256.33333,0,1.666666667,1,6308230.933,1
5/29/2009,4,11703.99824,11042.72234,18.20887013,67108864,0,8806.4,3.4,1.6,1,18208870.13,1
5/30/2009,4,11703.99824,10660.39173,7.605669333,67108864,0.066666667,19089.86667,0.733333333,13.26666667,1,7605669.333,1
5/31/2009,4,11703.99824,11023.21568,8.097800533,67108864,0.133333333,10264.53333,0,1.666666667,1,8097800.533,1
6/1/2009,4,11703.99824,11075.88367,18.38782693,67108864,0,6374.8,0,1.4,1,18387826.93,1
6/2/2009,4,11703.99824,10535.54908,8.858368533,67108864,2.533333333,16425.73333,482.6,16.86666667,1,8858368.533,1
6/3/2009,4,11703.99824,11031.01834,6.6661448,67108864,0,9638.6,0,1.666666667,1,6666144.8,1
6/4/2009,4,11703.99824,11097.341,19.50630693,67108864,0.066666667,7409.6,0,1.533333333,1,19506306.93,1
6/5/2009,4,11703.99824,10555.05575,9.529456533,67108864,2.533333333,16164.13333,475.4,16.86666667,1,9529456.533,1
6/6/2009,4,11703.99824,11060.27834,6.263492,67108864,131.4666667,10234.13333,19.8,2.6,1,6263492,1
6/7/2009,4,11703.99824,87.7799868,14.3612952,67108864,0,2,0,1,1,14361295.2,1
6/8/2009,4,11703.99824,60.47065757,0,67108864,0,1.333333333,0,1,0,0,1
6/9/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
6/10/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
6/11/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
6/12/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
6/13/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
6/14/2009,4,11703.99824,68.27332307,0,67108864,0,1.2,0,1,0,0,1
6/15/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
6/16/2009,4,11703.99824,66.32265669,0,67108864,0,1.6,0,1.066666667,0,0,1
6/17/2009,4,11703.99824,74.12532219,0,67108864,0,15.33333333,0,1,0,0,1
6/18/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
6/19/2009,4,11703.99824,68.27332307,0.0894784,67108864,0,1.333333333,0,1,0,89478.4,1
6/20/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
6/21/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
6/22/2009,4,11703.99824,70.22398944,0,67108864,0,1.8,0.066666667,1.066666667,0,0,1
6/23/2009,4,11703.99824,64.37199032,0,67108864,0,1.4,0,1,0,0,1
6/24/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
6/25/2009,4,11703.99824,83.87865405,0,67108864,0,1.333333333,0,1,0,0,1
6/26/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
6/27/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
6/28/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
6/29/2009,4,11703.99824,79.97732131,0.0894784,67108864,8.533333333,4.333333333,0,1.066666667,0,89478.4,1
6/30/2009,4,11703.99824,68.27332307,0,67108864,0,1.533333333,0,1,0,0,1
7/1/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
7/2/2009,4,11703.99824,76.07598856,0,67108864,0,1.333333333,0,1,0,0,1
7/3/2009,4,11703.99824,79.97732131,0,67108864,0,1.333333333,0,1,0,0,1
7/4/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
7/5/2009,4,11703.99824,60.47065757,0,67108864,0,1.333333333,0,1,0,0,1
7/6/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
7/7/2009,4,11703.99824,66.32265669,0,67108864,0,2.133333333,0,1.133333333,0,0,1
7/8/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
7/9/2009,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
7/10/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
7/11/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
7/12/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
7/13/2009,4,11703.99824,60.47065757,0,67108864,0,1.4,0,1,0,0,1
7/14/2009,4,11703.99824,62.42132395,0,67108864,0,1.4,0,1,0,0,1
7/15/2009,4,11703.99824,60.47065757,0,67108864,0,2,0,1.066666667,0,0,1
7/16/2009,4,11703.99824,58.5199912,0,67108864,0,1.466666667,0,1,0,0,1
7/17/2009,4,11703.99824,66.32265669,0.1342176,67108864,0,1.4,0,1,0,134217.6,1
7/18/2009,4,11703.99824,62.42132395,0,67108864,0,2.2,0,1,0,0,1
7/19/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
7/20/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
7/21/2009,4,11703.99824,117.0399824,0.0894784,67108864,131.3333333,15.2,0,1,0,89478.4,1
7/22/2009,4,11703.99824,76.07598856,0,67108864,0,1.333333333,0,1,0,0,1
7/23/2009,4,11703.99824,64.37199032,0,67108864,0,1.533333333,0,1,0,0,1
7/24/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
7/25/2009,4,11703.99824,64.37199032,0.1789568,67108864,0,1.333333333,0,1,0,178956.8,1
7/26/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
7/27/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
7/28/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
7/29/2009,4,11703.99824,81.92798768,0,67108864,0,1.333333333,0,1,0,0,1
7/30/2009,4,11703.99824,83.87865405,0,67108864,0,2,0,1.066666667,0,0,1
7/31/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
8/1/2009,4,11703.99824,81.92798768,0,67108864,0,2.666666667,0,1,0,0,1
8/2/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0.066666667,1,0,0,1
8/3/2009,4,11703.99824,74.12532219,0,67108864,0,1.333333333,0,1,0,0,1
8/4/2009,4,11703.99824,68.27332307,0,67108864,0,1.666666667,0,1,0,0,1
8/5/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
8/6/2009,4,11703.99824,66.32265669,0,67108864,0,1.733333333,0,0.933333333,0,0,1
8/7/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
8/8/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
8/9/2009,4,11703.99824,74.12532219,0.894784,67108864,0,4.266666667,0,1.066666667,0,894784,1
8/10/2009,4,11703.99824,68.27332307,0,67108864,0,0.333333333,0,1,0,0,1
8/11/2009,4,11703.99824,70.22398944,0,67108864,0,0.4,0,1,0,0,1
8/12/2009,4,11703.99824,68.27332307,0,67108864,0,1.066666667,0,1.066666667,0,0,1
8/13/2009,4,11703.99824,79.97732131,0,67108864,0,0.4,0,1,0,0,1
8/14/2009,4,11703.99824,64.37199032,0.1789568,67108864,0,0.533333333,0,1,0,178956.8,1
8/15/2009,4,11703.99824,68.27332307,0,67108864,0,1.2,0,1,0,0,1
8/16/2009,4,11703.99824,58.5199912,0,67108864,0,0.333333333,0,1,0,0,1
8/17/2009,4,11703.99824,68.27332307,0,67108864,0,0.333333333,0,1,0,0,1
8/18/2009,4,11703.99824,64.37199032,0,67108864,0,0.333333333,0,1,0,0,1
8/19/2009,4,11703.99824,62.42132395,0,67108864,0,0.533333333,0,1,0,0,1
8/20/2009,4,11703.99824,60.47065757,0,67108864,0,1.066666667,0,1,0,0,1
8/21/2009,4,11703.99824,62.42132395,0,67108864,0,0.666666667,0,1,0,0,1
8/22/2009,4,11703.99824,58.5199912,0,67108864,0,0.666666667,0,1,0,0,1
8/23/2009,4,11703.99824,74.12532219,0,67108864,0,0.666666667,0,1,0,0,1
8/24/2009,4,11703.99824,60.47065757,0,67108864,0,0.666666667,0,1,0,0,1
8/25/2009,4,11703.99824,72.17465581,0,67108864,0,0.666666667,0,1,0,0,1
8/26/2009,4,11703.99824,60.47065757,0,67108864,0,0.666666667,0,0.933333333,0,0,1
8/27/2009,4,11703.99824,72.17465581,0,67108864,0,0.666666667,0,1,0,0,1
8/28/2009,4,11703.99824,72.17465581,0.223696,67108864,0,0.666666667,0,1,0,223696,1
8/29/2009,4,11703.99824,66.32265669,0,67108864,0,0.666666667,0,1,0,0,1
8/30/2009,4,11703.99824,66.32265669,0,67108864,0,0.6,0,1,0,0,1
8/31/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/1/2009,4,11703.99824,68.27332307,0,67108864,0,0.666666667,0,1,0,0,1
9/2/2009,4,11703.99824,68.27332307,0,67108864,0,1.066666667,0,1,0,0,1
9/3/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/4/2009,4,11703.99824,72.17465581,0,67108864,0,0.666666667,0,1,0,0,1
9/5/2009,4,11703.99824,79.97732131,0,67108864,0,0.666666667,0,0.933333333,0,0,1
9/6/2009,4,11703.99824,72.17465581,0,67108864,0,0.666666667,0,1,0,0,1
9/7/2009,4,11703.99824,62.42132395,0,67108864,8.466666667,3.533333333,0.066666667,1.066666667,0,0,1
9/8/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/9/2009,4,11703.99824,68.27332307,0,67108864,0,0.666666667,0,0.933333333,0,0,1
9/10/2009,4,11703.99824,66.32265669,0,67108864,0,0.666666667,0,1,0,0,1
9/11/2009,4,11703.99824,68.27332307,0,67108864,0,0.666666667,0,1,0,0,1
9/12/2009,4,11703.99824,72.17465581,0,67108864,0,0.8,0,1,0,0,1
9/13/2009,4,11703.99824,72.17465581,0,67108864,0,1,0,1.066666667,0,0,1
9/14/2009,4,11703.99824,62.42132395,0,67108864,0,1.066666667,0,1,0,0,1
9/15/2009,4,11703.99824,79.97732131,0,67108864,0,0.533333333,0,0.933333333,0,0,1
9/16/2009,4,11703.99824,78.02665493,0,67108864,0,0.333333333,0,1,0,0,1
9/17/2009,4,11703.99824,70.22398944,0.1342176,67108864,0,0.666666667,0,1.066666667,0,134217.6,1
9/18/2009,4,11703.99824,68.27332307,0,67108864,0,0.666666667,0,1,0,0,1
9/19/2009,4,11703.99824,66.32265669,0,67108864,0,0.333333333,0,1,0,0,1
9/20/2009,4,11703.99824,72.17465581,0,67108864,0,0.6,0,1,0,0,1
9/21/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/22/2009,4,11703.99824,62.42132395,0,67108864,0,0.333333333,0,1,0,0,1
9/23/2009,4,11703.99824,81.92798768,0,67108864,0,0.466666667,0,1,0,0,1
9/24/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/25/2009,4,11703.99824,64.37199032,0,67108864,0,0.666666667,0,1,0,0,1
9/26/2009,4,11703.99824,62.42132395,0.0894784,67108864,0,0.333333333,0,1,0,89478.4,1
9/27/2009,4,11703.99824,62.42132395,0,67108864,0,0.666666667,0,1,0,0,1
9/28/2009,4,11703.99824,70.22398944,0,67108864,0,0.666666667,0,1,0,0,1
9/29/2009,4,11703.99824,64.37199032,0,67108864,0,0.4,0,1,0,0,1
